Разработчик Python (по написанию парсеров)|https://hh.ru/vacancy/70395301|не указана|Понимание механизмов парсинга данных. Знание JavaScript. Знание протоколов HTTP и WebSocket. Знание основных алгоритмов/структур данных. Знание методов защиты веб...Разработка парсеров различной сложности для новых источников данных (в том числе с региональными ограничениями/с защитой от ботов). 
Python-разработчик (backend)|https://hh.ru/vacancy/70203352|не указана|Опыт <highlighttext>Python</highlighttext> от 2-3 лет. Умение выбирать оптимальный стек под продукт/задачу, работать с легковесными фреймворками. Опыт работы в...Разработка новых продуктов на языке <highlighttext>python</highlighttext>. Взаимодействие с мобильным приложением со стороны backend. Интеграция системы с другими внутренними проектами. 
Разработчик C++|https://hh.ru/vacancy/69205889|300000|Уверенное владение письменным английским языком. Знание или готовность освоить nodejs и <highlighttext>python</highlighttext> для написания простых вспомогательных скриптов. Знание или готовность...Разработка алгоритмов управления роботизированной системой, разработка вспомогательных инструментов для наладки, тестирования и диагностики роботизированных систем, написание тестов различного уровня. 
Python-разработчик (PREDICT)|https://hh.ru/vacancy/70531105|не указана|Конкурентные преимущества: Опыт бэкенд-разработки на <highlighttext>Python</highlighttext> (Flask/FastAPI). Опыт работы с реляционными БД и написания SQL запросов. Созданием продуктов и реализацией проектов в области предиктивной аналитики. То есть фактически прогнозируем целевые события или действия пользователей и таким...
Разработчик Python|https://hh.ru/vacancy/70413199|не указана|Уверенное знание <highlighttext>python</highlighttext>, в частности aiohttp/fastapi. Написание тестов с pytest. Опыт работы с elasticsearch. Умение читать javascript. Владение git. Доработка сервиса на <highlighttext>python</highlighttext>. Написание тестов. Разработка новых изменений и исправление багов согласно производственному процессу. Работа со смежными командами: проработка...
Middle Python разработчик|https://hh.ru/vacancy/69576039|100000|Опыт в рефакторинге, декомпозиции, построении модульных приложений. Знание git. Опыт работы с SQL (желательно с PostgreSQL). <highlighttext>Python</highlighttext> 3.8. Flask. Разработка продукта EvaTeam. Активно улучшать продукт, делая новые фичи. Участие в улучшении и доработке текущей архитектуры. Улучшение внутренних процессов работы...
Python разработчик|https://hh.ru/vacancy/70476534|50000|...сервисов (backend) на языке <highlighttext>Python</highlighttext> от 1 года. Опыт работы с различными CУБД(MySQL\Postgres\Mongo). <highlighttext>Python</highlighttext> 3.6+. Разработка компонентов и нового функционала. Доработка существующего кода. Активное взаимодействие с коллегами, обсуждение архитектуры приложения.
Python-разработчик в команду клиентских сервисов|https://hh.ru/vacancy/70458788|не указана|Отличное знание <highlighttext>Python</highlighttext> >3.5. Опыт разработки с учетом постоянно обновляющихся требований. Опыт работы с базами данных (в частности, с...Разрабатывать сервис учета действий клиентов. Проектировать и развивать функционал системы уведомлений для клиентов. Оптимизировать скорость работы и эффективность реализованного функционала. 
Аналитик данных / Data scientist|https://hh.ru/vacancy/70471850|не указана|5. Опыт работы с Linux. 6. Умение работать с гео-данными в <highlighttext>python</highlighttext>. Приветствуется: 1. Пройденные курсы по анализу данных.3. 30% Разработка аналитических правил для автоматизации, машинное обучение. 4. 20% Подготовка сложных выгрузок с использованием SQL и <highlighttext>Python</highlighttext>.
Python-разработчик|https://hh.ru/vacancy/70530961|не указана|Отличное знание <highlighttext>Python</highlighttext>, Linux, Django, PostgreSQL, Redis, RabbitMQ. Опыт использования gitlab (CI/CD), Jenkins, Nexus. Опыт написания unit-тестов. Участвовать в разработке проектов в сфере технологий виртуализации. Разрабатывать backend (REST API + hardware) для новых и уже существующих сервисов. 
