animal_id,fk_type,animal_name,fk_breed,fk_colour_1,fk_colour_2,date_of_birth
A665145,1,*Stefan,51,24,1,2013-04-16 00:00:00
A686795,1,,51,23,1,2013-02-27 00:00:00
A688059,1,*Tina,51,42,1,2014-08-13 00:00:00
A688519,1,Sage,51,24,1,2014-07-29 00:00:00
A682075,1,,51,42,1,2012-06-24 00:00:00
A679737,1,,20,27,25,2013-05-25 00:00:00
A679717,1,,51,3,1,2014-05-03 00:00:00
A672589,1,,20,14,1,2004-02-13 00:00:00
A672516,1,,51,42,1,2013-11-11 00:00:00
A666154,1,Gizmo,51,3,1,2012-10-28 00:00:00
A670830,1,*Baby,51,3,1,2013-01-14 00:00:00
A674282,1,*Bobby,51,42,1,2013-07-11 00:00:00
A683186,1,,51,25,23,2014-06-23 00:00:00
A691275,1,*Cinnamon,51,42,1,2014-09-25 00:00:00
A674726,1,Mittens,51,23,25,2009-03-17 00:00:00
A685949,1,*Lexi,20,27,25,2014-05-23 00:00:00
A670892,1,*Faith,20,27,25,2013-05-15 00:00:00
A678198,1,Sassy,11,3,1,2013-11-05 00:00:00
A689268,1,,51,27,25,2014-09-09 00:00:00
A679696,1,*Jenna,51,3,1,2014-04-24 00:00:00
A682837,1,Trouble,51,23,1,2013-07-03 00:00:00
A681531,1,,11,27,1,2014-06-15 00:00:00
A676170,1,Chuy,51,14,1,2013-07-05 00:00:00
A688321,1,*Jenny,51,22,25,2013-09-18 00:00:00
A678650,1,Evans,48,7,1,2012-05-13 00:00:00
A686466,1,,51,42,1,2014-04-30 00:00:00
A679923,1,Tifa,51,42,1,2014-04-11 00:00:00
A668405,1,Ceelo,51,22,25,2011-12-03 00:00:00
A669603,1,*Gimpy Cb,48,37,1,2013-08-23 00:00:00
A682002,1,,51,3,1,2014-06-20 00:00:00
A685147,1,Luke,51,13,25,2014-07-07 00:00:00
A675482,1,,51,23,25,2014-03-25 00:00:00
A669791,1,,51,3,1,2012-12-27 00:00:00
A689965,1,,51,42,1,2013-10-12 00:00:00
A688158,1,,20,3,1,2014-02-15 00:00:00
A688809,1,,51,23,1,2014-08-17 00:00:00
A675125,1,,51,23,1,2013-03-23 00:00:00
A689193,1,,51,23,1,2014-09-08 00:00:00
A683797,1,,51,42,1,2014-06-23 00:00:00
A678823,1,,51,42,1,2012-05-13 00:00:00
A627604,1,*S'Mores,25,25,7,2009-05-19 00:00:00
A688096,1,Khloe,51,25,1,2013-03-14 00:00:00
A679292,1,,51,27,25,2011-05-19 00:00:00
A687682,1,,51,23,1,2014-09-03 00:00:00
A689146,1,,51,3,1,2014-08-21 00:00:00
A679452,1,,51,42,1,2014-04-29 00:00:00
A674929,1,*Sugar,51,13,25,2014-02-13 00:00:00
A680094,1,,51,27,25,2014-04-29 00:00:00
A683657,1,Spruce,51,23,1,2014-04-28 00:00:00
A668746,1,Luckey,20,23,1,2011-12-08 00:00:00
A687017,1,,51,22,25,2014-04-15 00:00:00
A675462,1,Pia,51,27,1,2013-03-28 00:00:00
A668328,1,*Sophie,51,42,1,2013-08-20 00:00:00
A671160,1,,51,3,1,2013-01-19 00:00:00
